com.github.axet.audiorecorder.apk,   android-audio-recorder-audiorecorder-1.5.15.zip
org.nuntius35.wrongpinshutdown.apk,  wps-v9.zip
net.yolosec.routerkeygen2.apk,   net.yolosec.routerkeygen2_80_src.tar.gz
io.github.sds100.keymapper.apk,  KeyMapper-1.1.6.zip
ru.meefik.busybox.apk,   ru.meefik.busybox_46_src.tar.gz
io.github.gsantner.memetastic.apk,   memetastic-1.3.2.zip
org.elijaxapps.androidxmrigminer.apk,    org.elijaxapps.androidxmrigminer_5_src.tar.gz
im.r_c.android.clearweather.apk,    im.r_c.android.clearweather_2_src.tar.gz
com.jellyshack.block6.apk,   com.jellyshack.block6_7_src.tar.gz
org.primftpd.apk,    prim-ftpd-prim-ftpd-4.9.zip
com.github.axet.smsgate.apk,     com.github.axet.smsgate_271_src.tar.gz
ro.ieval.fonbot.apk,     ro.ieval.fonbot_2_src.tar.gz
com.example.spokennumbers.apk,   dekadico-1.0.zip
de.nulide.findmydevice.apk,  findmydevice-v0.1.2.tar.gz
de.rampro.activitydiary.apk,     ActivityDiary-1.1.1.zip
com.genonbeta.TrebleShot.apk,    android-1.2.5.5.zip
de.srlabs.gsmmap.apk,    de.srlabs.gsmmap_2_src.tar.gz
io.va.exposed.apk,   io.va.exposed_202_src.tar.gz
org.twistedappdeveloper.statocovid19italia.apk,  org.twistedappdeveloper.statocovid19italia_34_src.tar.gz
io.timelimit.android.open.apk,   opentimelimit-android-release-4.2.0.zip
com.grarak.kerneladiutor.apk,    KernelAdiutor-0.9.9.4.zip
com.matejdro.pebbledialer.apk,   com.matejdro.pebbledialer_39_src.tar.gz
com.github.axet.callrecorder.apk,    android-call-recorder-callrecorder-1.6.31.tar.gz
tranquvis.simplesmsremote.apk,  tranquvis.simplesmsremote_140_src.tar.gz
fr.ralala.hexviewer.apk, HexViewer-1.18.zip
jackpal.androidterm.apk,     Android-Terminal-Emulator-1.0.61.zip
com.example.trigger.apk,     trigger-2.2.1.zip
libretasks.app.apk,  LibreTasks-release-0.3.0.zip
click.dummer.imagesms.apk,   click.dummer.imagesms_16_src.tar.gz
com.achep.acdisplay.apk, com.achep.acdisplay_76_src.tar.gz
com.simplemobiletools.gallery.apk,   Simple-Gallery-1.30.zip
com.pierreduchemin.smsforward.apk,  smsforward-1.4.6.tar.gz
org.moire.opensudoku.apk,    opensudoku-2.5.2.tar.gz
ohi.andre.consolelauncher.apk,                   0
com.aripuca.tracker.apk,                         0
net.sourceforge.opencamera.apk,                  0
com.ulicae.cinelog.apk,                          0
